authorDisplayName,publishedAt,likeCount,textOriginal,textPreprocess
@Ozuna,2023-01-30T15:15:05Z,7857,¡Lo hemos logrado! 💪🏼 💎Síguelo Bailando 💎 Llego al Billón de vistas. Gracias por su apoyo 💎,¡Lo hemos logrado!  emoji bíceps flexionado tono de piel claro medio emoji   emoji piedra preciosa emoji Síguelo Bailando  emoji piedra preciosa emoji  Llego al Billón de vistas. Gracias por su apoyo  emoji piedra preciosa emoji
@jheryarellano,2024-02-01T05:44:03Z,0,1 de enero del 2024 escuchando este rolasa,1 de enero del 2024 escuchando este rolasa
@Fernanda_gg123,2024-01-31T12:27:47Z,1,Alguien 2024?,Alguien 2024?
@WUGGY_HUGGY-PELUCHE,2024-01-31T10:49:28Z,0,Síguelo bailando es la mejor canción,Síguelo bailando es la mejor canción
@user-mh5wf7fs9d,2024-01-31T00:45:39Z,0,😭😭desde que tenía 4 años lo escuchaba,emoji cara llorando fuerte emoji  emoji cara llorando fuerte emoji desde que tenía 4 años lo escuchaba
@J2-ug2rk,2024-01-30T07:19:46Z,1,2024 y sigue Siendo un Temazo,2024 y sigue Siendo un Temazo
@elmernoyola5928,2024-01-30T01:36:33Z,0,Cool song,Cool song
@elmundodeGabriel-kl7pi,2024-01-29T19:05:43Z,0,Está piola la música ya mela ce todo la canción 🎉🎉🎉🎉😊😂😂,Está piola la música ya mela ce todo la canción  emoji cañón de confeti emoji  emoji cañón de confeti emoji  emoji cañón de confeti emoji  emoji cara feliz con ojos sonrientes emoji  emoji cara llorando de risa emoji  emoji cara llorando de risa emoji
@ayrton9953,2024-01-29T00:23:43Z,0,Alguien sabe cómo se llaman estos estilos de beats así?,Alguien sabe cómo se llaman estos estilos de beats así?
@Galvis_Drepa,2024-01-28T23:41:55Z,0,Quien más escucha en 2024,Quien más escucha en 2024
@user-ob8dq2gk9p,2024-01-28T22:31:35Z,0,Yailn,Yailn
@TuPacodeconfianza,2024-01-27T17:26:39Z,0,吃雞蛋吃雞蛋吃雞蛋吃雞蛋吃雞蛋vv吃雞蛋吃雞蛋吃雞蛋吃雞蛋v吃雞蛋,吃雞蛋吃雞蛋吃雞蛋吃雞蛋吃雞蛋vv吃雞蛋吃雞蛋吃雞蛋吃雞蛋v吃雞蛋
@jonix1742,2024-01-27T01:09:25Z,0,2024 🎉 ganas de volver a temazos para motivar la vida de alegria y felicidad ❤,2024  emoji cañón de confeti emoji  ganas de volver a temazos para motivar la vida de alegria y felicidad
@JackfranyelisjuniorGater-bp8kw,2024-01-26T15:38:05Z,0,Eer,Eer
@cristofgd,2024-01-26T01:58:21Z,0,Q buenaaaaaaa,Q buenaaa
@ricardomedina3174,2024-01-24T19:22:27Z,2,eres el mejor ozunaaaaaaa,eres el mejor ozunaaa
@user-xu5zt6jt7u,2024-01-24T16:21:15Z,1,2024 y esta cancion me sigue en cantando 😍☺☺,2024 y esta cancion me sigue en cantando  emoji cara sonriendo con ojos de corazón emoji
@aliguerreror.3080,2024-01-24T14:46:44Z,1,2024 & seguimos bailando 🤞🏻,2024 & seguimos bailando  emoji dedos cruzados tono de piel claro emoji
@nayelisanchez4880,2024-01-24T01:41:45Z,0,Señorita con delicadeza gueeeee🎉🎉🎉🎉,Señorita con delicadeza gueee emoji cañón de confeti emoji  emoji cañón de confeti emoji  emoji cañón de confeti emoji
@yohaduran7675,2024-01-24T01:38:36Z,0,Temon 2024,Temon 2024
@DavidVilla-sm7pw,2024-01-21T17:22:13Z,0,❤😂🎉😢😮😅cjgkkgkgkgkgkgggkgkgkkgkgjtjtututtiugguuttututtugffkfkkffkfkfk,emoji cara llorando de risa emoji  emoji cañón de confeti emoji  emoji cara llorando emoji  emoji cara con la boca abierta emoji  emoji cara sonriendo con sudor frío emoji cjgkkgkgkgkgkgggkgkgkkgkgjtjtututtiugguuttututtugffkfkkffkfkfk
@BTS.LOVE.YOONGI,2024-01-20T23:39:12Z,0,TE AMO OZUNAAAAA❤,TE AMO OZUNAAA
@user-pr1ms2ic1r,2024-01-20T03:01:22Z,1,"J2jjejueu7ueyjejskjjtjiwuuwikn kkkdkddk kkkdkfjgjkdkkdkeii27mmcbvzjkekowowoigytjruxjnvmdm,,.ñkjdhehhhjwhfuuty❤1😘😘😉😘🤩🤩😄🤩🥰🐯🐯🐯🐱🍅🍅🍑🍅🍓🍒🫒🏗🏗🏖🌎🌍🌍🌏🎈🎉🩱🩲","J2jjejueu7ueyjejskjjtjiwuuwikn kkkdkddk kkkdkfjgjkdkkdkeii27mmcbvzjkekowowoigytjruxjnvmdm,,.ñkjdhehhhjwhfuuty1 emoji cara lanzando un beso emoji  emoji cara lanzando un beso emoji  emoji cara guiñando el ojo emoji  emoji cara lanzando un beso emoji  emoji cara sonriendo con estrellas emoji  emoji cara sonriendo con estrellas emoji  emoji cara sonriendo con ojos sonrientes emoji  emoji cara sonriendo con estrellas emoji  emoji cara sonriendo con corazones emoji  emoji cara de tigre emoji  emoji cara de tigre emoji  emoji cara de tigre emoji  emoji cara de gato emoji  emoji tomate emoji  emoji tomate emoji  emoji melocotón emoji  emoji tomate emoji  emoji fresa emoji  emoji cerezas emoji  emoji aceituna emoji  emoji construcción emoji  emoji construcción emoji  emoji playa y sombrilla emoji  emoji globo terráqueo mostrando américa emoji  emoji globo terráqueo mostrando europa y áfrica emoji  emoji globo terráqueo mostrando europa y áfrica emoji  emoji globo terráqueo mostrando asia y australia emoji  emoji globo emoji  emoji cañón de confeti emoji  emoji traje de baño de una pieza emoji  emoji ropa interior emoji"
@DrunelsyParra-hd9hn,2024-01-19T18:05:57Z,1,"Un grande ozuna escucho esta musica desde su lanzamiento, ES LA MUSICA DE MI INFANCIA😊😊","Un grande ozuna escucho esta musica desde su lanzamiento, ES LA MUSICA DE MI INFANCIA emoji cara feliz con ojos sonrientes emoji  emoji cara feliz con ojos sonrientes emoji"
@Jasany,2024-01-18T22:39:10Z,1,Take me baacckkk😭😭,Take me baacckkk emoji cara llorando fuerte emoji  emoji cara llorando fuerte emoji
@Alejaa2,2024-01-18T18:07:47Z,1,Aqui los que son de colombia monteria córdoba yoooo❤,Aqui los que son de colombia monteria córdoba yooo
@leticiahernandez3482,2024-01-17T20:05:42Z,0,❤❤❤❤❤❤❤❤❤❤ amo la música 🎶 ♥️ ❤️ 💕 😍 💖 🎶 ♥️ ❤️ 💕 😍♥️ ❤️,amo la música  emoji notas musicales emoji   emoji corazón rojo emoji    emoji dos corazones emoji   emoji cara sonriendo con ojos de corazón emoji   emoji corazón brillante emoji   emoji notas musicales emoji   emoji corazón rojo emoji    emoji dos corazones emoji   emoji cara sonriendo con ojos de corazón emoji  emoji corazón rojo emoji
@abrahamg4128,2024-01-17T19:40:04Z,0,"Oh no, they put captions on without giving you the option of removing them. Or, they didn't even give you permission before.","Oh no, they put captions on without giving you the option of removing them. Or, they didn't even give you permission before."
@nancybecerra480,2024-01-17T18:18:35Z,0,Esta buena la canción,Esta buena la canción
@LourdesAguirre-ft7iw,2024-01-16T23:29:45Z,0,😈😈😈😈😈❤❤❤❤,emoji cara sonriendo con cuernos emoji  emoji cara sonriendo con cuernos emoji  emoji cara sonriendo con cuernos emoji
@Jay_OwO,2024-01-15T22:13:39Z,1,Por que esta canción si tiene ya un billón de vistas no está en el top videos más vistos de youtube?,Por que esta canción si tiene ya un billón de vistas no está en el top videos más vistos de youtube?
@elgatojordancod8276,2024-01-15T15:25:57Z,2,Que buena música quien dirías que salió ase 6 años jajaja la escuchaba cuando tenía como 8 años,Que buena música quien dirías que salió ase 6 años jaja la escuchaba cuando tenía como 8 años
@PANEL_RAZE-,2024-01-15T04:39:39Z,2,alguien del 2024?,alguien del 2024?
@morenomontejano3684,2024-01-14T01:16:04Z,3,Es 2024 y sigue siendo mi fav :)❤,Es 2024 y sigue siendo mi fav :)
@cesar.353,2024-01-13T09:40:07Z,0,a .i me gusta ozuna el negrito de ogitos claros ozuna alocate baby,a .i me gusta ozuna el negrito de ogitos claros ozuna alocate baby
@noe_reyes858,2024-01-13T05:09:40Z,1,Apuesto que la estás escuchando hoy,Apuesto que la estás escuchando hoy
@garyvargasperez5207,2024-01-12T20:54:55Z,1,2024 y todavía me encantas 😍 arriba Ozuna 🇩🇴,2024 y todavía me encantas  emoji cara sonriendo con ojos de corazón emoji  arriba Ozuna  emoji bandera república dominicana emoji
@frandimoreta6532,2024-01-11T20:28:12Z,1,Me responder OZUNA en 2024❤?,Me responder OZUNA en 2024?
@user-zt1cf5cp2u,2024-01-11T16:08:53Z,2,Suena unos de lo mejores temas,Suena unos de lo mejores temas
@frailinff8340,2024-01-11T04:12:37Z,2,Los que los escuchan en el 2024🎉,Los que los escuchan en el 2024 emoji cañón de confeti emoji
@user-sc5ez7jl3f,2024-01-10T23:25:07Z,3,Quien sigue ewcuchando esta rolita en 2024,Quien sigue ewcuchando esta rolita en 2024
@dadikande3111,2024-01-10T02:24:41Z,2,2024 alguien?,2024 alguien?
@natalyordaz6804,2024-01-10T00:49:57Z,1,2024❤,2024
@user-zl3fp4es2p,2024-01-09T04:30:47Z,2,Alguien de 2024 escuchando este temazo,Alguien de 2024 escuchando este temazo
@Leandro.Cabanas,2024-01-07T12:03:56Z,5,Alguien 2024????,Alguien 2024???
@kumupro219,2024-01-07T06:10:01Z,1,Congratulations on 1B🎉,Congratulations on 1B emoji cañón de confeti emoji
@gameovergameover3751,2024-01-07T06:03:50Z,0,República Dominicana Manuel frenos ❤😊,República Dominicana Manuel frenos  emoji cara feliz con ojos sonrientes emoji
@JosueRojas-zi5fg,2024-01-06T22:43:55Z,0,Quien escucha este te Masó 2024🎉🎉🎉🎉🎉❤,Quien escucha este te Masó 2024 emoji cañón de confeti emoji  emoji cañón de confeti emoji  emoji cañón de confeti emoji
@user-qe3md3lr7q,2024-01-06T19:37:27Z,0,Hola 💜 María ❤❤❤❤,Hola  emoji corazón morado emoji  María
@hamiltonmartinez4667,2023-05-08T14:58:52Z,0,❤,
@MariaJimenez-cs5ic,2024-01-06T01:58:58Z,0,❤❤❤❤,
@Legnytik,2024-01-05T20:37:50Z,0,🥰💙🎶🐻,emoji cara sonriendo con corazones emoji  emoji corazón azul emoji  emoji notas musicales emoji  emoji oso emoji
@Woncurry,2024-01-05T16:23:53Z,0,"TE AMO OZUNA, NUNCA DEJES DE SACAR TEMAZOS ASÍ","TE AMO OZUNA, NUNCA DEJES DE SACAR TEMAZOS ASÍ"
@fernandocruzgonzalez7287,2024-01-05T02:34:06Z,0,😊,emoji cara feliz con ojos sonrientes emoji
@angellopes435,2024-01-05T01:50:32Z,1,Buenos tiempos 😢😢 antes de pandemia.,Buenos tiempos  emoji cara llorando emoji  emoji cara llorando emoji  antes de pandemia.
@AngelJr86,2024-01-04T14:36:03Z,0,I love you Jenn,I love you Jenn
@Lafarandulard,2024-01-02T16:03:34Z,1,El director de ese video es un genio en verdad demasiado duro,El director de ese video es un genio en verdad demasiado duro
@ramirogauto10,2023-12-30T02:21:09Z,2,29 de Diciembre del 2023 🎉,29 de Diciembre del 2023  emoji cañón de confeti emoji
@user-kj5wg4of1g,2023-12-29T15:07:45Z,0,Me encanta es mi canción favorita Osuna es el mejor cantante para mi me encanta el ritmo bailable incluso me inventé una coreografía quisiera que vinieras a República Dominicana a dar un concier🎉🎉🎉😊me encantan tus canciones,Me encanta es mi canción favorita Osuna es el mejor cantante para mi me encanta el ritmo bailable incluso me inventé una coreografía quisiera que vinieras a República Dominicana a dar un concier emoji cañón de confeti emoji  emoji cañón de confeti emoji  emoji cañón de confeti emoji  emoji cara feliz con ojos sonrientes emoji me encantan tus canciones
@pricilianosac383,2023-12-28T18:38:20Z,1,🤒,emoji cara con termómetro emoji
@shin70007,2023-12-28T07:00:41Z,2,Regresa a Japón porfa!! 🙏,Regresa a Japón porfa!!  emoji manos en oración emoji
@999virgins9,2023-12-28T00:07:46Z,1,2024 todavia escuchando esta cancion,2024 todavia escuchando esta cancion
@user-kb8pf1pr5e,2023-12-27T21:59:10Z,1,Litooooooo,Litooo
@NiurcaMendes-yh5jv,2023-12-27T16:26:12Z,1,Esafue lamejor de toda pero todas sol bella po deso soy fan de osuna porque osuna buscando leganato do bacano,Esafue lamejor de toda pero todas sol bella po deso soy fan de osuna porque osuna buscando leganato do bacano
@mind2life4skill,2023-12-27T15:25:31Z,0,I heard this on the radio and can’t believe it was made 6 years ago! 😮,I heard this on the radio and cant believe it was made 6 years ago!  emoji cara con la boca abierta emoji
@PaolaMorales-xo2zh,2023-12-26T15:15:05Z,5,Esto si es música ❤,Esto si es música
@isabellobo2620,2023-12-25T22:18:13Z,0,Hol,Hol
@cesarop3243,2023-12-24T00:11:09Z,7,siguen pasando los años y sigue siendo uno de mis temas preferidos 😌,siguen pasando los años y sigue siendo uno de mis temas preferidos  emoji cara de alivio emoji
@user-yd4yg9rs6i,2023-12-22T17:03:47Z,0,Ozuna es duro🔥,Ozuna es duro emoji fuego emoji
@elcrack157,2023-12-21T18:13:35Z,0,La mejor música del siglo,La mejor música del siglo
@juanaldana143,2023-12-20T16:41:23Z,0,"Jajajajaja Ozuna otaku, qué bacán el video, recién lo descubro xddd","Jjaja Ozuna otaku, qué bacán el video, recién lo descubro xddd"
@SofiaRamirez-ev5sk,2023-12-14T23:48:57Z,0,Alguien de 2023?,Alguien de 2023?
@h0lasoyalgnquenosabes,2023-12-19T15:57:46Z,1,"Letraa:

[Intro]
Na-na-na-na
Uh-whoo-oh
Hi Music Hi Flow
(Ozuna)

Llegó el fin de semana y ya quiere salir
En la monotonía no quiere seguir
Señorita con delicadeza
Me pone loco, de la cabeza
Me dice que quiere seguir

[Pre-Estribillo]
Baila conmigo mujer
Que la noche solamente comienza
En tu mirada puedo ver lo que piensa
Una belleza, ma'
Baila conmigo mujer
Que la noche solamente comienza
En tu mirada puedo ver lo que piensa
Bailando, una belleza

[Estribillo]
Síguelo bailando, que la música no pare, eh, eh, eh
Como a mí me gusta, que la noche no se acabe, eh, eh, eh
Síguelo bailando, que la música no pare
Como a ti te gusta, que la noche no se acabe, eh, eh, eh (Ozuna)

[Verso 1]
Ay mami, sacude, estás por encima
Bailando, me aceleras, la adrenalina
Una maquina de baile, siempre domina
No paramo' aunque soltemo' pegadito' en una esquina
Aunque tú tengas tu aceite, yo tengo el mismo
Hay un lío y la música tiene poderío
Esto se baila en Brasil, Venezuela y los judios
Argentina y en Colombia, PR en caceríos, con los míos

[Estribillo]
Síguelo bailando, que la música no pare, eh, eh, eh
Como a mí me gusta, que la noche no se acabe, eh, eh, eh
Síguelo bailando, que la música no pare
Como a ti te gusta, que la noche no se acabe, eh, eh, eh

[Pre-Estribillo]
Baila conmigo mujer
Que la noche solamente comienza
En tu mirada puedo ver lo que piensa
Una belleza, ma'
Baila conmigo mujer
Que la noche solamente comienza
En tu mirada puedo ver lo que piensa
Bailando, una belleza

[Verso 2]
Con este ritmo se descontrola
Se pone loquita y se me entrega toda
Se pega de espaldas y se acomoda sola
Pa' bailar no pone excusas, no le importa la hora
Y a la moda cuando sale, va retumbando
Yo no sé que tiene que se le quedan mirando
Anda quemando, por el mundo viajando
No tiene problemas y lo resuelve bailando, mami

[Estribillo]
Síguelo bailando, que la música no pare, eh, eh, eh
Como a mí me gusta, que la noche no se acabe, eh, eh, eh
Síguelo bailando, que la música no pare
Como a ti me gusta, que la noche no se acabe, eh, eh, eh

[Puente]
Llegó el fin de semana y ya quiere salir
En la monotonía no quiere seguir
Señorita con delicadeza
Me pone loco, de la cabeza
Me dice que quiere seguir

[Pre-Estribillo]
Baila conmigo mujer
Que la noche solamente comienza
En tu mirada puedo ver lo que piensa
Una belleza, ma'
Baila conmigo mujer
Que la noche solamente comienza
En tu mirada puedo ver lo que piensa
Bailando, una belleza

[Outro]
Ozuna
El negrito ojos claros
Yai & Toly
Yai-Yai & Toly
Hi Music Hi Flow
Hi Music Hi Flo-o-ow
Mami, mami
Ingeniero
El negrito ojos claros","Letraa:

[Intro]
Na-na-na-na
Uh-whoo-oh
Hi Music Hi Flow
(Ozuna)

Llegó el fin de semana y ya quiere salir
En la monotonía no quiere seguir
Señorita con delicadeza
Me pone loco, de la cabeza
Me dice que quiere seguir

[Pre-Estribillo]
Baila conmigo mujer
Que la noche solamente comienza
En tu mirada puedo ver lo que piensa
Una belleza, ma'
Baila conmigo mujer
Que la noche solamente comienza
En tu mirada puedo ver lo que piensa
Bailando, una belleza

[Estribillo]
Síguelo bailando, que la música no pare, eh, eh, eh
Como a mí me gusta, que la noche no se acabe, eh, eh, eh
Síguelo bailando, que la música no pare
Como a ti te gusta, que la noche no se acabe, eh, eh, eh (Ozuna)

[Verso 1]
Ay mami, sacude, estás por encima
Bailando, me aceleras, la adrenalina
Una maquina de baile, siempre domina
No paramo' aunque soltemo' pegadito' en una esquina
Aunque tú tengas tu aceite, yo tengo el mismo
Hay un lío y la música tiene poderío
Esto se baila en Brasil, Venezuela y los judios
Argentina y en Colombia, PR en caceríos, con los míos

[Estribillo]
Síguelo bailando, que la música no pare, eh, eh, eh
Como a mí me gusta, que la noche no se acabe, eh, eh, eh
Síguelo bailando, que la música no pare
Como a ti te gusta, que la noche no se acabe, eh, eh, eh

[Pre-Estribillo]
Baila conmigo mujer
Que la noche solamente comienza
En tu mirada puedo ver lo que piensa
Una belleza, ma'
Baila conmigo mujer
Que la noche solamente comienza
En tu mirada puedo ver lo que piensa
Bailando, una belleza

[Verso 2]
Con este ritmo se descontrola
Se pone loquita y se me entrega toda
Se pega de espaldas y se acomoda sola
Pa' bailar no pone excusas, no le importa la hora
Y a la moda cuando sale, va retumbando
Yo no sé que tiene que se le quedan mirando
Anda quemando, por el mundo viajando
No tiene problemas y lo resuelve bailando, mami

[Estribillo]
Síguelo bailando, que la música no pare, eh, eh, eh
Como a mí me gusta, que la noche no se acabe, eh, eh, eh
Síguelo bailando, que la música no pare
Como a ti me gusta, que la noche no se acabe, eh, eh, eh

[Puente]
Llegó el fin de semana y ya quiere salir
En la monotonía no quiere seguir
Señorita con delicadeza
Me pone loco, de la cabeza
Me dice que quiere seguir

[Pre-Estribillo]
Baila conmigo mujer
Que la noche solamente comienza
En tu mirada puedo ver lo que piensa
Una belleza, ma'
Baila conmigo mujer
Que la noche solamente comienza
En tu mirada puedo ver lo que piensa
Bailando, una belleza

[Outro]
Ozuna
El negrito ojos claros
Yai & Toly
Yai-Yai & Toly
Hi Music Hi Flow
Hi Music Hi Flo-o-ow
Mami, mami
Ingeniero
El negrito ojos claros"
@MadelinRosales-nr3qt,2023-12-19T15:13:47Z,0,Me encanta canción lo amo❤❤❤,Me encanta canción lo amo
@Lilyramires89,2023-12-19T00:13:18Z,0,Eh eh eh,Eh eh eh
@claudianunezmerchan7561,2023-12-18T23:57:38Z,0,Alguien en 2024,Alguien en 2024
@JenniferPeralta-yp6wm,2023-12-18T20:27:25Z,0,Ha! La la la. Wo-ho! High music! High flow! Ozuna!,Ha! La la la. Wo-ho! High music! High flow! Ozuna!
@user-wp5iu8ep2c,2023-12-18T18:07:32Z,1,Me encanta esta cancion❤,Me encanta esta cancion
@GabrielLopez-uk5in,2023-12-18T15:09:22Z,0,Quien escuchado esta Gran canción 18 de diciembre del 2023 ❤,Quien escuchado esta Gran canción 18 de diciembre del 2023
@IndiraSevilla-on2ob,2023-12-17T20:52:01Z,0,Alguien en diciembre de 🎉😢2023,Alguien en diciembre de  emoji cañón de confeti emoji  emoji cara llorando emoji 2023
@dylansalaza9320,2023-12-17T19:48:21Z,1,Aña,Aña
@javiover,2023-12-17T12:29:51Z,0,Oozuuunaa,Oozuuunaa
@fjiezz,2023-12-17T07:37:38Z,0,No recordaba esa belleza de canción y nunca había visto el video AUE HERMOSO CON RAZÓN ME LLAMÓ,No recordaba esa belleza de canción y nunca había visto el video AUE HERMOSO CON RAZÓN ME LLAMÓ
@AndresEnriquee,2023-12-17T05:05:18Z,1,El prime más cabron de la Historia del Genero,El prime más cabron de la Historia del Genero
@user-in2gn8qi6g,2023-12-17T03:59:45Z,1,La escuchaba cuando tenía 11 años ahora con casi 18 me sigue gustando,La escuchaba cuando tenía 11 años ahora con casi 18 me sigue gustando
@samuelvargas1330,2023-12-14T02:51:00Z,0,"OZUNA, Arca te tiro, no vas a responder? 🔥","OZUNA, Arca te tiro, no vas a responder?  emoji fuego emoji"
@amparocamarillo4859,2023-12-12T20:05:12Z,0,❤❤❤❤❤❤❤❤❤❤❤,
@asinos-wx7jx,2023-12-12T03:43:13Z,1,esta cancion nunca caera,esta cancion nunca caera
@AgustinaZeta-sj8vm,2023-12-11T02:39:33Z,1,No era tokyo🇯🇵🇯🇵japon,No era tokyo emoji bandera japón emoji  emoji bandera japón emoji japon
@AgustinaZeta-sj8vm,2023-12-11T02:33:25Z,1,Fue grabado en🇰🇷🇰🇷,Fue grabado en emoji bandera corea del sur emoji  emoji bandera corea del sur emoji
@JhosmelBlas,2023-12-10T21:49:13Z,0,❤😻🥰💝😍listo🎉🎉👍👌,emoji gato sonriendo con ojos de corazón emoji  emoji cara sonriendo con corazones emoji  emoji corazón con lazo emoji  emoji cara sonriendo con ojos de corazón emoji listo emoji cañón de confeti emoji  emoji cañón de confeti emoji  emoji pulgar hacia arriba emoji  emoji señal de aprobación con la mano emoji
@luiscarlossanchezvazquez9583,2023-12-10T20:10:07Z,2,Felicidades como no cumplir la marca si es una obra de arte,Felicidades como no cumplir la marca si es una obra de arte
@pilar6055,2023-12-10T19:58:17Z,5,el videoclip es muy lindo y único❤ jajaj,el videoclip es muy lindo y único jajaj
@pedroarrieta25,2023-12-10T15:02:35Z,0,🤩🤩🤩🤩,emoji cara sonriendo con estrellas emoji  emoji cara sonriendo con estrellas emoji  emoji cara sonriendo con estrellas emoji
@user-zj7rk3nb6q,2023-12-10T14:25:46Z,0,"& saludos a mis nietos...
😅","& saludos a mis nietos...
 emoji cara sonriendo con sudor frío emoji"
@user-zj7rk3nb6q,2023-12-10T14:25:21Z,0,"Saludos a mi hijo el pez
El fish 
😅","Saludos a mi hijo el pez
El fish 
 emoji cara sonriendo con sudor frío emoji"
@user-zj7rk3nb6q,2023-12-10T14:24:02Z,0,"¿Cuantos en el 2023?
😅","¿Cuantos en el 2023?
 emoji cara sonriendo con sudor frío emoji"
@marcorenan9957,2023-12-10T02:33:36Z,6,Sou do Brasil e escuto esse som há anos e nunca perdi a graça de escutar,Sou do Brasil e escuto esse som há anos e nunca perdi a graça de escutar
@star_army_xd,2023-12-09T18:28:11Z,2,Menciono a Venezuela y yo soy de allá ohhhh 😭😭😭❤,Menciono a Venezuela y yo soy de allá ohhh  emoji cara llorando fuerte emoji  emoji cara llorando fuerte emoji  emoji cara llorando fuerte emoji
@user-wp5iu8ep2c,2023-12-08T23:34:25Z,0,Soy tu fannnnnn❤❤❤❤❤,Soy tu fannn
@stvenribera-rc4jd,2023-12-08T15:37:19Z,3,2023 y este temazo sigue arriba 😻🧸,2023 y este temazo sigue arriba  emoji gato sonriendo con ojos de corazón emoji  emoji osito de peluche emoji
@AlfredoSis-hz7dl,2023-12-08T00:17:49Z,0,"Sigo escuchando a todo pulmón en pleno Diciembre 2023, no pasa de moda. 🐻🐻","Sigo escuchando a todo pulmón en pleno Diciembre 2023, no pasa de moda.  emoji oso emoji  emoji oso emoji"
@user-fl4uu2mk7m,2023-12-06T20:00:05Z,0,Qmci,Qmci
@AdelaMarie-tc8if,2023-12-06T14:59:18Z,0,"Deportacion, obliga de renuncia. Humanida reciduo, carnibales. Fracaso de morgue y regulations. No grave. No derecho ael afiliacion diverse. Racialidad de raza a raza. 60% Africanos Estado Unidence. No  beneficio de casa section 8. Money de avion, sin tour= no lei


c.o.o.l  bebe","Deportacion, obliga de renuncia. Humanida reciduo, carnibales. Fracaso de morgue y regulations. No grave. No derecho ael afiliacion diverse. Racialidad de raza a raza. 60% Africanos Estado Unidence. No  beneficio de casa section 8. Money de avion, sin tour= no lei


c.o.o.l  bebe"
@iPostWhatever,2023-12-05T16:30:21Z,0,"La canción que Ozu compuso para Yankee o ambos, pero segun Ozu, a Yankee no le gustó, asi que Ozu se la quedo e hizo el solo. TODO UN ÉXITO.","La canción que Ozu compuso para Yankee o ambos, pero segun Ozu, a Yankee no le gustó, asi que Ozu se la quedo e hizo el solo. TODO UN ÉXITO."
